feature_name	Hi_GW21_4.Hi_GW21_4	Hi_GW21_5.Hi_GW21_5	Hi_GW21_8.Hi_GW21_8	Hi_GW21_1.Hi_GW21_1	Hi_GW21_2.Hi_GW21_2	Hi_GW21_3.Hi_GW21_3	Hi_GW21_7.Hi_GW21_7	Hi_GW21_6.Hi_GW21_6	Hi_GW16_11.Hi_GW16_11	Hi_GW16_3.Hi_GW16_3	Hi_GW16_4.Hi_GW16_4	Hi_GW16_1.Hi_GW16_1	Hi_GW16_10.Hi_GW16_10	Hi_GW16_2.Hi_GW16_2	Hi_GW16_8.Hi_GW16_8	Hi_GW16_9.Hi_GW16_9	Hi_GW16_13.Hi_GW16_13	Hi_GW16_14.Hi_GW16_14	Hi_GW16_15.Hi_GW16_15	Hi_GW16_16.Hi_GW16_16
RP11.560A15.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DDC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092057.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS11	914.571584243	467.547086516	439.424921032	1255.66942654	777.872447383	268.219088364	968.451970172	397.994937921	780.747881178	394.809476227	19.65489395	872.535887043	1206.57361644	1138.02246254	1612.19862082	344.056425254	63.4787450013	379.083529541	291.053029862	66.2105656056
CREB3L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142788237333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPL10P14	0.0	0.0	0.0	0.142479226885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PNMA1	0.544306849721	0.177437224484	83.9093259386	0.142479226885	7.14737317656	0.0	0.294541353459	0.0	850.220438972	0.142788237333	0.0	713.481829016	0.782219524434	0.744779098519	29.0183907506	2877.6719382	0.0	0.294091178853	9.22148213424	738.86625684
RP11.783L4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC092634.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11.798K23.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
